image_id,damage_whole,damage_pic,folds,warped,late_season_missing,damage_sub1,damage_sub2,damage_sub3
MAT-TH5-N,1,1,0,0,0,1,0,0
MAT-TH5-S,1,1,0,0,0,0,0,0
MAT-TH5-W,1,2,2,0,0,0,0,1
MAT-TH6-E,3,2,0,0,0,0,0,2
MAT-TH6-N,3,3,0,0,0,2,3,2
MAT-TH6-S,3,1,0,0,0,1,1,2
MAT-TH6-W,3,1,0,0,0,0,0,0
MAT-TH7-E,1,2,1,0,0,2,1,1
MAT-TH7-N,1,2,0,0,0,0,1,1
MAT-TH7-S,1,2,0,0,0,1,1,1
MAT-TH7-W,1,1,0,0,0,1,0,1
PIO-BH1-E,2,1,0,0,0,1,1,1
PIO-BH1-N,2,3,0,1,1,3,1,1
PIO-BH1-S,2,1,0,0,0,1,1,1
PIO-BH1-W,2,2,1,0,0,1,2,2
PIO-BH2-E,2,2,0,0,0,2,1,1
PIO-BH2-N,2,3,0,0,1,3,NA,2
PIO-BH2-S,2,2,0,0,0,1,2,1
PIO-BH2-W,2,2,1,0,0,2,2,1
PIO-BH3-E,1,3,0,0,0,0,2,4
PIO-BH3-N,1,2,0,0,0,1,0,0
PIO-BH3-S,1,1,0,0,0,0,0,0
PIO-BH3-W,1,2,1,0,0,0,1,1
PIO-BH4-E,1,1,0,0,0,1,1,1
PIO-BH4-N,1,3,0,0,0,4,3,1
PIO-BH4-S,1,2,0,0,0,0,0,1
PIO-BH4-W,1,2,0,0,0,1,2,2
PIO-BH5-E,1,2,0,0,0,1,2,2
PIO-BH5-N,1,1,0,0,0,1,1,1
PIO-BH5-S,1,2,0,0,1,1,3,2
PIO-BH5-W,1,2,0,0,0,1,2,1
PIO-BH6-E,2,3,0,0,0,3,3,3
PIO-BH6-N,2,2,0,0,0,1,1,3
PIO-BH6-S,2,4,0,0,0,NA,NA,4
PIO-BH6-W,2,3,0,1,0,1,1,4
PIO-BH7-E,1,1,0,0,0,1,1,1
PIO-BH7-N,1,1,0,0,0,1,1,1
PIO-BH7-S,1,2,0,0,1,1,2,2
PIO-BH7-W,1,2,2,0,0,2,1,3
PIO-FH1-E,0,0,0,0,0,1,0,0
PIO-FH1-N,0,0,0,0,0,1,0,1
PIO-FH1-S,0,1,0,0,0,0,1,1
PIO-FH1-W,0,1,0,0,0,2,1,1
PIO-FH2-E,4,3,0,1,1,4,3,5
PIO-FH2-N,4,3,0,1,1,NA,3,4
